Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,put,100,110,0.02,0.75,1,1024,50,0,0.0143325,0.014285677,22.01488886,-0.6451111433
Serial,put,100,110,0.02,0.75,1,1024,100,0,0.024495668,0.024486977,21.41684266,-1.243157341
Serial,put,100,110,0.02,0.75,1,1024,250,0,0.053455861,0.053443508,22.15205164,-0.5079483618
Serial,put,100,110,0.02,0.75,1,1024,500,0,0.099895374,0.099880528,22.52703009,-0.1329699117
Serial,put,100,110,0.02,0.75,1,1024,750,0,0.150661538,0.150644682,22.62787222,-0.03212778355
Serial,put,100,110,0.02,0.75,1,1024,1000,0,0.195627956,0.195617776,22.78317249,0.1231724922
Serial,put,100,110,0.02,0.75,1,8192,50,0,0.081022237,0.081014715,22.14725195,-0.5127480474
Serial,put,100,110,0.02,0.75,1,8192,100,0,0.163619709,0.163611478,22.4907787,-0.1692213027
Serial,put,100,110,0.02,0.75,1,8192,250,0,0.394947235,0.394939147,22.46949279,-0.1905072084
Serial,put,100,110,0.02,0.75,1,8192,500,0,0.765309067,0.765299953,22.73354021,0.07354021234
Serial,put,100,110,0.02,0.75,1,8192,750,0,1.160499723,1.160481842,22.63320462,-0.02679537956
Serial,put,100,110,0.02,0.75,1,8192,1000,0,1.541760995,1.541750402,22.72727897,0.06727897235
Serial,put,100,110,0.02,0.75,1,16384,50,0,0.157680344,0.157669732,22.51412057,-0.1458794296
Serial,put,100,110,0.02,0.75,1,16384,100,0,0.308610146,0.308600764,22.58900245,-0.07099754552
Serial,put,100,110,0.02,0.75,1,16384,250,0,0.772069809,0.772060787,22.88423305,0.2242330534
Serial,put,100,110,0.02,0.75,1,16384,500,0,1.525805874,1.525797792,22.64095907,-0.01904092954
Serial,put,100,110,0.02,0.75,1,16384,750,0,2.280501068,2.280494881,22.21974319,-0.4402568116
Serial,put,100,110,0.02,0.75,1,16384,1000,0,3.018291909,3.018271131,22.37026377,-0.2897362269
Serial,put,100,110,0.02,0.75,1,65536,50,0,0.62542416,0.625415231,22.36990315,-0.2900968544
Serial,put,100,110,0.02,0.75,1,65536,100,0,1.28778185,1.287771182,22.45907521,-0.2009247892
Serial,put,100,110,0.02,0.75,1,65536,250,0,3.102778945,3.102766027,22.55688575,-0.1031142512
Serial,put,100,110,0.02,0.75,1,65536,500,0,6.185886004,6.185875174,22.53934847,-0.1206515335
Serial,put,100,110,0.02,0.75,1,65536,750,0,9.145033074,9.145019658,22.59556046,-0.06443953543
Serial,put,100,110,0.02,0.75,1,65536,1000,0,12.23749333,12.23748748,22.56261502,-0.09738498367
Serial,put,100,110,0.02,0.75,1,131072,50,0,1.23316217,1.233126392,22.33736063,-0.3226393748
Serial,put,100,110,0.02,0.75,1,131072,100,0,2.473106976,2.473098105,22.36184736,-0.2981526447
Serial,put,100,110,0.02,0.75,1,131072,250,0,6.114297446,6.114288327,22.50561447,-0.1543855278
Serial,put,100,110,0.02,0.75,1,131072,500,0,12.45288957,12.45287773,22.65427056,-0.005729436503
Serial,put,100,110,0.02,0.75,1,131072,750,0,18.30028923,18.30027416,22.54817096,-0.1118290383
Serial,put,100,110,0.02,0.75,1,131072,1000,0,24.39199418,24.39198842,22.60826191,-0.05173809317
