Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,100,0.1,0.2,1,10000,0,0,4,0.026145118,0.026035213,12.12549759,0.2254975888,0.2254975888
Serial,call,100,100,0.1,0.2,1,80000,0,0,4,0.175459114,0.175402733,12.03519594,0.1351959355,0.1351959355
Serial,call,100,100,0.1,0.2,1,100000,0,0,4,0.248871659,0.248827288,12.02509659,0.1250965886,0.1250965886
Serial,call,100,100,0.1,0.2,1,160000,0,0,4,0.363249416,0.363157766,11.98796357,0.08796356957,0.08796356957
Serial,call,100,100,0.1,0.2,1,320000,0,0,4,0.739830134,0.739756875,11.89554567,0.004454327948,-0.004454327948
Serial,call,100,100,0.1,0.2,1,640000,0,0,4,1.454186948,1.454153727,11.91263187,0.012631874,0.012631874
Serial,call,100,100,0.1,0.2,1,800000,0,0,4,1.80127874,1.801233295,11.92302288,0.02302287789,0.02302287789
Serial,call,100,100,0.1,0.2,1,1000000,0,0,4,2.323682599,2.323599899,11.92736259,0.02736259027,0.02736259027
Serial,call,100,100,0.1,0.2,1,1600000,0,0,4,3.621611734,3.621574904,11.92096839,0.02096839027,0.02096839027
Serial,call,100,100,0.1,0.2,1,3200000,0,0,4,7.257091645,7.257038354,11.93481069,0.03481069163,0.03481069163
Serial,call,100,100,0.1,0.2,1,6400000,0,0,4,14.49800696,14.49796374,11.92402623,0.02402623173,0.02402623173
Serial,call,100,100,0.1,0.2,1,8000000,0,0,4,18.05220658,18.05217631,11.92193592,0.02193592408,0.02193592408
Serial,call,100,100,0.1,0.2,1,10000000,0,0,4,22.05714736,22.05709434,11.93013686,0.03013686484,0.03013686484
Serial,call,100,100,0.1,0.2,1,16000000,0,0,4,36.21765398,36.21763185,11.9270645,0.02706450043,0.02706450043
Serial,call,100,100,0.1,0.2,1,32000000,0,0,4,72.34834883,72.3483129,11.9182802,0.01828020199,0.01828020199
Serial,call,100,100,0.1,0.2,1,64000000,0,0,4,142.6902139,142.6901667,11.92322089,0.0232208851,0.0232208851
Serial,call,100,100,0.1,0.2,1,80000000,0,0,4,177.3804769,177.3804492,11.92229151,0.02229150512,0.02229150512
Serial,call,100,100,0.1,0.2,1,100000000,0,0,4,224.6573247,224.6572816,11.92046714,0.02046713938,0.02046713938
OMP,call,100,100,0.1,0.2,1,10000,0,1,4,0.027461013,0.027371909,12.04609803,0.1460980274,0.1460980274
